Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Total_IBRD_IDA_clean
P143492,Latin America and Caribbean,Federative Republic of Brazil,,BR DGM for Indigenous People and Traditional Communities,"(i) to strengthen the engagement of Cerrado Biome's indigenous peoples and traditional communities in FIP, REDD+ and similar climate change oriented programs at the local, national and global level, and (ii) to contribute toward improving livelihoods, land use and sustainable forest management in their territories.",Centro de Agricultura Alternativa do Norte de Minas,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P143492,"June 4, 2014","March 3, 2015","June 29, 2015","January 31, 2022",BANK APPROVED,G,,,,,6500000.0,Centro de Agricultura Alternativa do Norte de Minas - CAA/NM,,B,,,,,"September 28, 2022",
P128748,Other,World,,DGM Program and Global Learning and Knowledge Exchange Project,"The objective of the Global Learning and Knowledge Exchange Project is to organize and facilitate knowledge exchange, learning and capacity building for IPLCsat regional and global levels, and to strengthen the networks and alliances of IPLC organizations within and across regions with a view to enhancing their representation and voice in regional and global policy fora.",Conservation International Foundation,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P128748,"June 6, 2012","March 3, 2015","June 15, 2015","December 31, 2020",BANK APPROVED,G,,,,,4724770.0,Conservation International,,F,,,,,"July 11, 2024",
P144497,Eastern and Southern Africa,United Republic of Tanzania,,Tanzania: Expanding Rice Production,To increase the productivity and production of rice among smallholders in targeted areas of Morogoro and Zanzibar,"Ministry of Agriculture,Ministry of Agriculture and Natural Resources - Zanzibar",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P144497,"November 30, 2014","March 12, 2015","May 18, 2015","January 31, 2021",BANK APPROVED,G,,,,,22900000.0,United Republic of Tanzania,,B,,,,,"July 30, 2024",
P147050,Europe and Central Asia,,,Real Estate Management Project,"To improve the efficiency, transparency, accessibility and reliability of Serbia’s real property management systems.","Ministry of Construction Transport and Infrastructure,Republic Geodetic Authority",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P147050,"December 13, 2013","March 16, 2015","October 8, 2015","July 31, 2024",BANK APPROVED,I,,66900000.0,0.0,,0.0,Republic of Serbia,,B,,,,,"June 17, 2024",
P126773,Western and Central Africa,Western and Central Africa,,"West Africa Region Fisheries Program AF Guinea, Sierra Leone & Liberia",The development objective of this first phase of the West Africa Regional Fisheries Program SOP-C (formerly APL-C) is to strengthen governance and management of targeted fisheries and improve handling of landed catch at selected sites.,"Ministry of Fisheries and Maritime Economy,Ministry of Fisheries, Aquaculture, and Maritime Economy (Guinea),Ministry of Fisheries and Marine Resources (Sierra Leone),Ministry of Agriculture (Liberia),Ministry of Fisheries and Maritime Economy (Mauritania),Ministry of Fisheries and Aquaculture",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P126773,"February 14, 2012","March 16, 2015","June 24, 2015","February 28, 2022",BANK APPROVED,I,,0.0,22000000.0,,0.0,"Republic of Liberia,Republic of Guinea,Islamic Republic of Mauritania,Republic of Sierra Leone,Ministry of Economic Affairs and Development,Ministry of Finance",,B,,,,,"June 4, 2024",
P146665,Western and Central Africa,Republic of Benin,,Tenth Poverty Reduction Support Credit,PRSC-10 is the second operation in a programmatic series of three DPOS. It builds on and deepens the reforms supported under PRSC-9.,Ministère de l'Économie et des Finances : Cellule de Suivi des Programmes Economiques et Financiers,,https://projects.worldbank.org/en/projects-operations/project-detail/P146665,"March 17, 2015","March 17, 2015","February 29, 2016","June 30, 2016",BANK APPROVED,I,,0.0,20000000.0,,0.0,,,,,,,,"March 6, 2024",
P149605,South Asia,People's Republic of Bangladesh,,Nuton Jibon Livelihood Improvement Project,The proposed Project Development Objective is to improve livelihoods of the poor and extreme poor in the project areas.,Social Development Foundation,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P149605,"June 28, 2014","March 18, 2015","August 3, 2015","June 30, 2021",BANK APPROVED,O,,0.0,200000000.0,,0.0,Government of Bangladesh,,B,,,,,"October 11, 2022",
P150177,South Asia,Kingdom of Bhutan,,Bhutan REDD Readiness,"The objective of the AF project is to build national capacity of the Recipient to engage in REDD+ efforts at the national as well as international levels, through strengthened policies, increased knowledge on REDD+, and enhanced data on forests and forest management.",MoAF - Watershed Management Division,,https://projects.worldbank.org/en/projects-operations/project-detail/P150177,"March 19, 2015","March 19, 2015",,"June 30, 2022",BANK APPROVED,G,,,,,8600000.0,Ministry of Finance,,B,,,,,"July 9, 2024",
P149992,Eastern and Southern Africa,Republic of Mozambique,,Mozambique - Artisanal Fisheries and Climate Change,"To improve community management of selected priority fisheries. 
 

  .","Ministério do Mar, Águas Interiores e Pescas, Direcção de Estudos, Planificação e Infra-Estruturas",,https://projects.worldbank.org/en/projects-operations/project-detail/P149992,"March 23, 2015","March 23, 2015","April 21, 2015","April 30, 2019",BANK APPROVED,G,,,,,3400000.0,Ministry of Economy and Finance,,B,,,,,"August 30, 2024",
P151844,Western and Central Africa,Republic of Cote d'Ivoire,,Youth Employment and Skills Development - Additional Financing,"The proposed Project Development Objective (PDO) is to improve access to temporary employment and skills development opportunities for young men and women
  in Cote d'Ivoire' s territory.",,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P151844,"February 13, 2015","March 26, 2015",,"December 31, 2020",BANK APPROVED,I,,0.0,50000000.0,,0.0,,,B,,,,,"July 17, 2024",
P148617,Eastern and Southern Africa,Republic of Malawi,,Additional Financing Strengthening Safety Nets Systems Proj. (MASAFIV),The Project Development Objective is to improve resilience among poor households and to strengthen Malawiâ??s social safety net delivery systems and coordination across programs.,,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P148617,"February 18, 2015","March 26, 2015",,"June 30, 2021",BANK APPROVED,I,,0.0,74986000.0,,0.0,,,B,,,,,"January 17, 2024",
P152636,Europe and Central Asia,Republic of Belarus,,Forestry Development Project,"The Project Development Objective is to enhance silvicultural management and reforestation and afforestation, increase the use of felling residues and improve the public good contribution from forests in targeted forest areas.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P152636,"March 27, 2015","March 27, 2015","July 30, 2015","August 31, 2021",BANK APPROVED,,,,,,2739726.0,,,B,,,,,"February 6, 2024",
P148591,Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,,Second Agricultural Growth Project,The Project Development Objective is to increase agricultural productivity and commercialization of small holder farmers targeted by the project.,Ministry of Agriculture,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P148591,"February 9, 2015","March 31, 2015","August 31, 2015","July 7, 2024",BANK APPROVED,I,,0.0,430000000.0,,172496992.0,Federal Democratic Republic of Ethiopia,,B,,,,,"April 9, 2024",
P124806,East Asia and Pacific,Republic of Vanuatu,,Vanuatu- FCPF Readiness Plan Preparation,"Task DescriptionThe task is to assist the FCPF REDD country participant to formulate its Readiness Prepration Proposal (R-PP), prepare for REDD Readiness by carrying out the preparation activities outlined in the R-PP, and potentially participate in future REDD carbon payment transactions.Board Schedule Comments",,,https://projects.worldbank.org/en/projects-operations/project-detail/P124806,"March 31, 2015","March 31, 2015","April 26, 2010","June 30, 2013",BANK APPROVED,G,,,,,3800000.0,,,,,,,,"July 16, 2024",
P132846,Latin America and Caribbean,Argentine Republic,,Forests and Community,"Project Development Objective (from Project Appraisal Document) 
 

  The Project Development Objective is to improve forest management; and increase access to markets and basic services by small forest producers including indigenous and campesinos in selected Northern Provinces of Argentina",Ministry of Environment and Sustainable Development (MAyDS),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P132846,"February 10, 2015","April 7, 2015","November 13, 2015","May 31, 2022",BANK APPROVED,I,,58760000.0,0.0,,0.0,Argentine Republic,,B,,,,,"January 31, 2024",
P145037,Eastern and Southern Africa,Republic of Uganda,,Agriculture Cluster Development Project,"The development objective is to raise on-farm productivity, production, and marketable volumes of selected agricultural commoditiesin specified geographic clusters.","Ministry of Agriculture, Animal Industry and Fisheries",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P145037,"July 31, 2013","April 9, 2015","January 23, 2017","May 31, 2024",BANK APPROVED,I,,0.0,150000000.0,,0.0,Republic of Uganda,,B,,,,,"July 8, 2024",
P147629,East Asia and Pacific,Republic of the Union of Myanmar,,Agricultural Development Support Project,"The Project Development Objective is to increase crop yields and cropping intensity in the selected existing irrigation sites in the Recipient's Bago East, Nay Pyi Taw, Mandalay, and Sagaing regions, and, in the event of an Eligible Crisis or Emergency, to provide immediate and effective response to said Eligible Crisis or Emergency.","Ministry of Agriculture, Livestock and Irrigation",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P147629,"March 3, 2014","April 23, 2015","September 29, 2015","June 30, 2022",BANK APPROVED,I,,0.0,100000000.0,,0.0,Republic of the Union of Myanmar,,B,,,,,"June 26, 2024",
P150892,Latin America and Caribbean,Federative Republic of Brazil,,ProCerrado Federal Project,The Project development objective is to enhance the capacity of the Ministry of Environment to establish integrated forest fire management and landholdings’ registration in selected areas of the Cerrado.,Ministry of Environment,,https://projects.worldbank.org/en/projects-operations/project-detail/P150892,"April 27, 2015","April 27, 2015","April 28, 2015","May 30, 2018",BANK APPROVED,G,,,,,4300000.0,Funatura,,B,,,,,"February 28, 2023",
P125176,"Middle East, North Africa, Afghanistan, and Pakistan",Republic of Tunisia,,Tunisa-WasteWater Reuse,"The proposed Project Development Objective is to sustainably increase agricultural productivity and to promote the use of treated wastewater, so as to overcome current and future water deficits.",,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P125176,"December 5, 2011","April 30, 2015",,,CONCEPT REVIEW,I,,50000000.0,0.0,,0.0,,,A,,,,,"December 19, 2024",
P155616,Western and Central Africa,Federal Republic of Nigeria,,Additional Financing-LSMS-ISA Nigeria General Household Survey-Panel Component,"Improve the quality (accuracy, timeliness and relevance) of agricultural data in Nigeria.",National Bureau of Statistics,,https://projects.worldbank.org/en/projects-operations/project-detail/P155616,"May 4, 2015","May 4, 2015",,"June 30, 2020",BANK APPROVED,G,,,,,2600000.0,Federal Ministry of Finance,,C,,,,,"May 19, 2020",
P133000,East Asia and Pacific,People's Republic of China,,Huainan Mining Area Rehabilitation Project,The project development objective is to remediate and create a public space at the JiuDa mining site in Huainan city.,Huainan Project Management Office,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P133000,"September 5, 2013","May 11, 2015","September 16, 2015","December 31, 2022",BANK APPROVED,O,,100000000.0,0.0,,0.0,People's Republic of China,,A,,,,,"July 18, 2023",
P152024,Eastern and Southern Africa,Federal Republic of Somalia,,Water for Agropastoral Livelihoods Pilot Project,"To improve the pastoral and agro-pastoral communities’ access to, and management of, small-scale water sources and to enhance the capacity of the government to implement small-scale water interventions in targeted arid lands of Somaliland and Puntland.","Minister of Environment & Rural Development, Somaliland,Ministry of Environment, Wildlife and Tourism",,https://projects.worldbank.org/en/projects-operations/project-detail/P152024,"May 21, 2015","May 21, 2015","December 7, 2015","July 31, 2018",BANK APPROVED,G,,,,,2000000.0,"Government of Somaliland,Federal Government of Somalia",,,,,,,"July 8, 2024",
P149969,Western and Central Africa,Western and Central Africa,,Volta River Basin Strategic Action Programme Implementation,<p>The proposed global objective is to improve the capacity of the VBA for transboundary water resources management.</p>,Volta Basin Authority (VBA),TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P149969,"November 4, 2014","May 21, 2015","December 17, 2015","August 31, 2019",BANK APPROVED,G,,,,,10700000.0,Volta Basin Authority (VBA),,B,,,,,"October 18, 2023",
P153466,Africa,Africa,,AFFC2/RI-Lake Victoria Environmental Management Project APL-1 AF,The objectives of the Project are to contribute to: (i) the improvement of the collaborative management of the trans-boundarynatural resources of the LVB among the Partner States; and (ii) the improvement of environmental management of targeted pollutionhotspots and selected degraded sub-catchments for the benefit of communities who depend on the natural resources of LVB.,,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P153466,"March 23, 2015","May 26, 2015",,"December 31, 2017",BANK APPROVED,I,,0.0,22000000.0,,0.0,,,A,,,,,"July 29, 2024",
P149553,South Asia,People's Republic of Bangladesh,,Bangladesh NATP-2: National Agricultural Technology Program - Phase II Project,To increase the agricultural productivity of smallholder farms and improve smallholder farmers' access to markets in selected districts.,"Ministry of Agriculture (MOA),Ministry of Fisheries and Livestock (MOFL)",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P149553,"September 9, 2014","June 5, 2015","August 7, 2016","June 30, 2023",BANK APPROVED,O,,0.0,176060000.0,,31290000.0,People's Republic of Bangladesh,,B,,,,,"March 26, 2024",
P149259,Latin America and Caribbean,Grenada,,Regional Disaster Vulnerability Reduction Project (Additional Finance),The Program aims at measurably reducing vulnerability to natural hazards and climate change impacts in the Eastern Caribbean Sub-region. The objective of the Project in Grenada is to measurably reduce vulnerability to natural hazards and climate change impacts in Grenada and in the Eastern Caribbean Sub-region. The objective of the Project in Saint Vincent and the Grenadines is to measurably reduce vulnerability to natural hazards and climate change impacts in Saint Vincent and the Grenadines and in the Eastern Caribbean Sub-region. The achievement of the Program Development Objectives of the Regional Disaster Vulnerability Reduction Program (RDVRP) would be measured using the following key indicators: (a) Reduced risk of OECS population to failure of public buildings and infrastructure due to natural hazards or climate change impacts; and (b) Increased capacity of OECS Governments to identify and monitor climate risk and impacts.,,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P149259,"January 30, 2015","June 8, 2015",,"January 31, 2022",BANK APPROVED,G,,0.0,0.0,,8800000.0,,,B,,,,,"August 15, 2024",
P151209,East Asia and Pacific,Republic of Fiji,,Fiji: FCPF REDD+ Readiness Preperation Proposal Readiness Fund,"The development objective of Grant is to assist Fiji to catTy out the Readiness Preparation Activities by supporting the preparation of its REDD+ strategy through a participatory and inclusive process, the establishment of a national MRY system, and by producing technical work and policy advice to help strengthen sustainable land and forest management practices.",Ministry of Forests,,https://projects.worldbank.org/en/projects-operations/project-detail/P151209,"August 28, 2017","June 12, 2015",,"December 31, 2022",BANK APPROVED,G,,,,,5800000.0,Republic of Fiji,,,,,,,"July 16, 2024",
P124655,Eastern and Southern Africa,Republic of Madagascar,,FCPF Readiness Fund Grant,"The development objective is improved institutional capacity to design a national REDD+ strategy.
 

 The key results of this preparation grant are specifically related to key aspects of readiness for implementing REDD+ at a national level. The grant is not supporting direct investments and is more specifically focused on technical assistance. Indicators have been proposed by the FCPF to measure key results related to progress in achieving strategic areas of REDD+. These indicators align with different aspects outlined in Madagascar’s R-PP and are used throughout the REDD+ Readiness process—corresponding to the implementation of the R-PP. The full list o 34 yes/no indicators is provided in Annex V of the Readiness Assessment Note, but this preparation grant will not be used to address all of the areas and indicators of REDD+ readiness. The result indicators for the PDO are related to the measures defined by the FCPF that are indicative of substantive progress towards REDD+ Readiness and are areas where the World Bank has a comparative advantage in providing support: 
 

 • REDD+ strategy validated in broad consultation process;
 • REDD+ M&E system functional according to defined criteria;
 • Mechanism for tracking REDD+ strategy interventions in place.",BNC-REDD+,,https://projects.worldbank.org/en/projects-operations/project-detail/P124655,"June 9, 2015","June 17, 2015",,"December 31, 2022",BANK APPROVED,G,,,,,8627537.0,Ministry of Economy and Finance,,B,,,,,"August 30, 2024",
P153301,South Asia,Republic of Maldives,,Climate Change Adaptation Project,The PDO is to demonstrate climate adaptive planning and management through the adoption of a multi-sectoral approach in Addu and Gnaviyani Atolls.,Ministry of Environment and Energy,,https://projects.worldbank.org/en/projects-operations/project-detail/P153301,"January 5, 2015","June 18, 2015","July 16, 2015","June 30, 2018",BANK APPROVED,G,,,,,4210000.0,Ministry of Finance and Treasury,,B,,,,,"July 8, 2024",
P154327,Europe and Central Asia,Republic of Tajikistan,,Additional Financing for Tajikistan PAMP II,"The project development objectives for PAMP II are to: (i) provide access to temporary employment to food-insecure people through the rehabilitation of irrigation and drainage infrastructure, (ii) increase yields of selected crops in response to improved irrigation and infrastructure, and (iii) strengthen the capacity of Tajikistan to introduce integrated water resource management. By improving food access and food availability these measures improve the food security of low-income people in the poor rural areas supported by the project.",,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P154327,"May 5, 2015","June 22, 2015",,"February 28, 2020",BANK APPROVED,I,,0.0,12000000.0,,0.0,,,B,,,,,"October 12, 2023",
P133326,East Asia and Pacific,People's Republic of China,,Poverty Alleviation and Agriculture-based Industry Pilot and Demonstration in Poor Areas Project,"The Project Development Objective (PDO) is to develop and demonstrate rural value chains that promote equitable organizational arrangements, participation, and the sustainable increase of income of target households in the Project Provinces.",National Rural Revitalization Administration of MARA and IPRCC of State Council,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P133326,"May 28, 2013","June 23, 2015","December 24, 2015","June 30, 2022",BANK APPROVED,O,,150000000.0,0.0,,0.0,People's Republic of China,,B,,,,,"June 26, 2024",
P148259,Latin America and Caribbean,Republic of Haiti,,HT Strengthening Hydro-Met Services,"The Project Development Objective (PDO) is to strengthen the Republic of Haiti's institutional capacity to providehydro-meteorological and climate information services customized to the needs of the civil protection and agriculture sectors,which contributes to increasing disaster and climate resilience.","Ministry of Agriculture, Natural Resources and Rural Development (MARNDR)",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P148259,"October 14, 2014","June 26, 2015","October 19, 2015","October 30, 2020",BANK APPROVED,G,,,,,5000001.0,Republic of Haiti,,B,,,,,"August 15, 2024",
P151568,Latin America and Caribbean,Republic of Colombia,,Strengthening Capacity on Good Environmental Practices in Commercial Reforestation in the Magdalena Bajo Seco CDM Project,"The project development objective (PDO) is to strengthen the capacity of ONF International-Andina and other implementation agencies (Cormagdalena, Faber Castell) for effective implementation of the Environmental Management Plan (EMP) for the Commercial Reforestation on Lands Dedicated to Extensive Cattle Grazing Activities in the Region of Magdalena Bajo Seco-CDM Project.",ONF Andina,,https://projects.worldbank.org/en/projects-operations/project-detail/P151568,"June 26, 2015","June 26, 2015","June 26, 2015","September 30, 2017",BANK APPROVED,G,,,,,74040.0,ONF International (ONFI),,C,,,,,"March 15, 2022",
P147745,Eastern and Southern Africa,Republic of Zambia,,Zambia Livelihood and Nutrition Project,The <strong>Project Development Objective (PDO) </strong>is to improve access to livelihood opportunities and nutrition among selected female youths in targeted project areas.,Concern Worldwide Zambia,,https://projects.worldbank.org/en/projects-operations/project-detail/P147745,"June 29, 2015","June 29, 2015","June 29, 2015","June 30, 2018",BANK APPROVED,G,,,,,2754965.0,Concern Worldwide,,C,,,,,"September 8, 2023",
P153709,Europe and Central Asia,Republic of Tajikistan,,Environmental Land Management and Rural Livelihoods - Additional Financing,The overall Project Development Objective (PDO) and Global Environmental Objective (GEO) is to enable rural people to increase their productive assets in ways that improve natural resource management and resilience to climate change in selected climate vulnerablesites,Committee for Environmental Protection,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P153709,"May 28, 2015","June 30, 2015",,"May 31, 2018",BANK APPROVED,G,,0.0,1800000.0,,2000000.0,Ministry of Finance,,B,,,,,"July 31, 2023",
