Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Total_IBRD_IDA_clean
P177072,Latin America and Caribbean,Republic of Haiti,,Emergency Resilient Agriculture for Food Security Project,"The Project Development Objective (PDOs) is to support project beneficiaries’ access to nutritious food and increase climate- and nutrition-smart agricultural production, including in earthquake-affected areas.","Ministry of Agriculture, Natural Resources and Rural Development",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P177072,"February 15, 2022","March 17, 2022","May 12, 2022","February 26, 2027",BANK APPROVED,I,,0.0,102000000.0,,0.0,Ministry of Economy and Finance,,,Substantial,,,,"June 21, 2024",
P173043,East Asia and Pacific,Solomon Islands,,Solomon Islands Agriculture and Rural Transformation Project,"To increase agricultural production and improve market access in selected value chains in the Project Provinces, and in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",Ministry of Agriculture and Livestock,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P173043,"May 17, 2020","March 17, 2022","April 29, 2022","December 31, 2026",BANK APPROVED,I,,0.0,15000000.0,,0.0,Solomon Islands,,,Substantial,,,,"April 18, 2024",
P170113,Europe and Central Asia,Republic of Kosovo,,Kosovo Public Finances and Sustainable Growth Development Policy Financing,"The objective of the proposed Public Finances and Sustainable Growth DPF is to support the Republic of Kosovo’s efforts to improve fiscal transparency, to enhance private sector development, and to strengthen environmental sustainability in the wake of the COVID-19 crisis.","Ministry of Finance, Labor and Transfers",,https://projects.worldbank.org/en/projects-operations/project-detail/P170113,"June 28, 2019","March 18, 2022","August 16, 2022","September 30, 2023",BANK APPROVED,I,,0.0,56400000.0,,0.0,Republic of Kosovo,,,,,,,"August 17, 2022",
P160865,Western and Central Africa,Federal Republic of Nigeria,,Livestock Productivity and Resilience Support Project,"To improve productivity, commercialization, and resilience of targeted livestock production systems in Nigeria.",Federal Ministry of Agriculture and Rural Development,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P160865,"July 18, 2017","March 18, 2022","December 18, 2022","March 31, 2028",BANK APPROVED,I,,0.0,500000000.0,,0.0,Federal Republic of Nigeria,,B,,,,,"January 8, 2024",
P176017,Europe and Central Asia,Republic of Uzbekistan,,Second Rural Enterprise Development Project,"The project development objective is to support the expansion of rural enterprise activity, investments, and job creation in regions supported by the project.",Ministry of Employment and Poverty Reduction,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P176017,"January 6, 2021","March 22, 2022","July 22, 2022","December 15, 2027",BANK APPROVED,I,,180000000.0,20000000.0,,0.0,Ministry of Finance,,,Substantial,,,,"January 1, 2024",
P176788,Latin America and Caribbean,Republic of Colombia,,EQUITABLE AND GREEN RECOVERY DEVELOPMENT POLICY FINANCING,"The development objective of the proposed operation is to support measures that (i) reduce income inequalities (including gender-related) and build resilience, (ii) promote economy-wide decarbonization and climate adaptation, and (iii) mitigate climate change by protecting biodiversity and reducing deforestation.",National Planning Department,,https://projects.worldbank.org/en/projects-operations/project-detail/P176788,"November 21, 2021","March 24, 2022","May 9, 2022","March 24, 2023",BANK APPROVED,I,,750000000.0,0.0,,0.0,Republic of Colombia,,,,,,,"March 18, 2024",
P174495,Western and Central Africa,Republic of Chad,,Chad Energy Access Scale Up Project,The PDO is to increase access to electricity and clean cooking in Chad.,"Socitete Nationale de l'Electricite (SNE),Ministry of Hydrocarbons and Energy",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174495,"February 25, 2021","March 24, 2022","August 24, 2022","June 30, 2027",BANK APPROVED,I,,0.0,295000000.0,,0.0,Republic of Chad,,,Substantial,,,,"February 13, 2024",
P174289,Latin America and Caribbean,Republic of Panama,,Panama Sustainable Rural Development and Biodiversity Conservation,To contribute to improved protected areas management and promote access to inclusive and biodiversity-friendly economic opportunities in project areas.,Ministry of Environment,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174289,"November 25, 2020","March 24, 2022",,,CONCEPT REVIEW,O,,,,,3505936.0,Republic of Panama,,,Substantial,,,,"December 19, 2024",
P178043,Eastern and Southern Africa,Republic of Angola,,Angola Strengthening Statistical Capacity,"The PDO is to improve Angola’s statistical capacity, its efficiency in data production, and its use of data for public program monitoring.",National Institute for Statistics of Angola (INE),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P178043,"November 2, 2021","March 25, 2022","May 15, 2023","July 31, 2027",BANK APPROVED,I,,60000000.0,0.0,,0.0,Republic of Angola,,,Moderate,,,,"January 10, 2024",
P175747,"Middle East, North Africa, Afghanistan, and Pakistan",Kingdom of Morocco,,Resilient and Sustainable Water in Agriculture,The project development objectives (PDO) are to: (i) enhance the governance of water in agriculture ; (ii) improve quality of Irrigation services; (iii) increase access to advisory services and to modern on-farm irrigation technologies in the Project Areas.,Ministry of Agriculture - Directorate of Irrigation,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P175747,"June 21, 2021","March 25, 2022","September 14, 2022","June 30, 2028",BANK APPROVED,I,,180000000.0,0.0,,0.0,Kingdom of Morocco,,,Substantial,,,,"January 31, 2024",
P176758,Eastern and Southern Africa,Republic of Kenya,,NATIONAL AGRICULTURAL VALUE CHAIN DEVELOPMENT PROJECT (NAVCDP),To increase market participation and value addition for targeted farmers in select value chains in project areas.,MINISTRY OF AGRICULTURE AND LIVESTOCK DEVELOPMENT,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P176758,"August 27, 2021","March 29, 2022","September 23, 2022","December 31, 2027",BANK APPROVED,I,,0.0,250000000.0,,0.0,The Republic of Kenya,,,Substantial,,,,"February 14, 2024",
P174903,Eastern and Southern Africa,Republic of Madagascar,,Pandemic Preparedness and Basic Health Services Delivery Project,To strengthen cross-sectoral capacity for pandemic preparedness and response and improve the provision of basic health services and quality of care,Ministry of Public Health,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174903,"February 17, 2021","March 29, 2022","August 12, 2022","June 30, 2026",BANK APPROVED,G,,0.0,93500000.0,,34900000.0,Republic of Madagascar,,,Substantial,,,,"December 21, 2023",
P177004,Eastern and Southern Africa,Republic of Angola,,Climate Resilience and Water Security in Angola-RECLIMA,The Project Development Objective is to improve water supply services and strengthen water resources management for climate resilience in selected areas in the Angolan territory,Ministry of Energy and Water,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P177004,"August 25, 2021","March 30, 2022","April 25, 2023","December 31, 2028",BANK APPROVED,O,,300000000.0,0.0,,150000000.0,"Republic of Angola,Ministry of Finance",,,Substantial,,,,"January 10, 2024",
P175011,Europe and Central Asia,Republic of Turkiye,,Turkey Climate Smart and Competitive Agricultural Growth Project (TUCSAP),Strengthen capacity for sustainable and competitive agricultural growth and promote the use of climate-smart agriculture in targeted regions in Turkey.,Ministry of Agriculture and Forestry,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P175011,"July 14, 2021","March 30, 2022","September 6, 2022","March 31, 2028",BANK APPROVED,I,,341270016.0,0.0,,0.0,Republic of Turkey,,,Substantial,,,,"February 23, 2024",
P177590,East Asia and Pacific,People's Republic of China,,Green Agricultural and Rural Revitalization Program for Results - Phase I,The Program Development Objective (PDO) is to enhance environmentally sustainable agricultural and rural infrastructure development in selected areas of Guangxi and Guizhou.,"Foreign Capital Project Management Center, Guangxi Agriculture and Rural Affairs Department,Project Center, Guizhou Provincial Rural Revitalization Administration",,https://projects.worldbank.org/en/projects-operations/project-detail/P177590,"October 29, 2021","March 31, 2022","March 27, 2024","June 30, 2028",BANK APPROVED,I,,320000000.0,0.0,,0.0,PEOPLE'S REPUBLIC OF CHINA,,,,,,,"June 26, 2024",
P175043,Western and Central Africa,Western and Central Africa,,Gulf of Guinea Northern Regions Social Cohesion project,to improve regional collaboration and the socioeconomic and climate resilience of border-zone communities in the target northern regions of the Gulf of Guinea countries exposed to conflict and climate risks.,"Ministry of Local Government Decentralisation and Rural Development (Ghana),General Secretariat of the Presidency (Benin),Prime Minister’s Office (Côte d’Ivoire),National Community Development Support Agency (ANADEB) (Togo)",No,https://projects.worldbank.org/en/projects-operations/project-detail/P175043,"December 18, 2020","March 31, 2022","June 17, 2022","December 31, 2027",BANK APPROVED,I,,0.0,506000000.0,,0.0,"Republic of Benin,Republic of Togo,Republic of Ghana,Republic of Côte d’Ivoire",,,Substantial,,,,"March 23, 2024",
P172806,East Asia and Pacific,People's Republic of China,,Yellow River Basin Ecological Protection and Environmental Pollution Control Program,"To strengthen integrated water use efficiency, water pollution control, and ecosystem management, in selected regions of the Yellow River Basin","Yellow River Conservancy Commission (YRCC), Ministry of Water Resources,Henan Provincial Finance Bureau,Shaanxi Provincial Finance Bureau",,https://projects.worldbank.org/en/projects-operations/project-detail/P172806,"June 28, 2021","March 31, 2022","August 2, 2024","June 30, 2029",BANK APPROVED,I,,380000000.0,0.0,,0.0,People's Republic of China,,,,,,,"May 31, 2024",
P172980,Latin America and Caribbean,St. Vincent and the Grenadines,,Coastal and Marine Ecosystems Management Strengthening Project,To strengthen the management of coastal and marine ecosystems of St. Vincent and the Grenadines.,"Sustainable Development Unit, Ministry of Tourism, Civil Aviation, Sustainable Development & Culture",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P172980,"May 6, 2020","April 5, 2022","July 19, 2022","April 30, 2027",BANK APPROVED,O,,,,,3650000.0,"Ministry of Finance, Economic Planning and Information Technology",,,Moderate,,,,"February 12, 2024",
P171266,Europe and Central Asia,Bosnia and Herzegovina,,Agriculture Resilience and Competitiveness Project,The Project Development Objective is to increase climate resilience and competitiveness of the agriculture sector.,"Ministry of Agriculture, Water Management and Forestry of FBiH,Ministry of Foreign Trade and Economic Relations of BiH,Ministry of Agriculture, Forestry and Water Management of RS",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171266,"August 22, 2020","April 7, 2022","September 19, 2023","December 31, 2027",BANK APPROVED,I,,68500000.0,0.0,,0.0,Bosnia and Herzegovina,,,Substantial,,,,"December 15, 2023",
P173734,Europe and Central Asia,Kyrgyz Republic,,Climate Resilient Water Services Project,"The project development objective is to (i) increase access to climate-resilient water services in selected river basins, and (ii) strengthen institutional capacities for climate-resilient water management at the local and national levels.","Water Resources Service,State Institution for Drinking Water Supply and Wastewater Disposal",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P173734,"June 28, 2021","April 15, 2022","October 31, 2022","December 31, 2028",BANK APPROVED,I,,0.0,100000000.0,,0.0,Ministry of Finance,,,Substantial,,,,"January 18, 2024",
P171462,Eastern and Southern Africa,Republic of Rwanda,,Commercialization and De-Risking for Agricultural Transformation Project,"The Project Development Objectives are to increase the use of irrigation and commercialization among producers and agribusiness firms in supported value chains, and to increase access to agricultural finance.","Rwanda Agriculture and Animal Resources Development Board,Development Bank of Rwanda",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P171462,"July 14, 2020","April 15, 2022","July 29, 2022","April 30, 2027",BANK APPROVED,I,,0.0,220000000.0,,4000000.0,"Ministry of Finance and Economic Planning (MINECOFIN), Republic of Rwanda",,,Substantial,,,,"June 27, 2024",
P177632,Latin America and Caribbean,Federative Republic of Brazil,,BR State of Goias Sustainable Recovery DPF,"The Program Development Objective of this DPF is to support the State of Goiás in: (i) improving fiscal sustainability; and (ii) adopting climate-smart, resilient, and inclusive policies for its agricultural sector.","State Secretariat of Agriculture and Livestock (SEAPA),State Secretariat of Economy (Secretaria Estadual da Economia),State Secretariat of Environment and Sustainable Development (SEMAD)",,https://projects.worldbank.org/en/projects-operations/project-detail/P177632,"January 26, 2022","April 28, 2022","October 7, 2022","December 31, 2024",BANK APPROVED,I,,500000000.0,0.0,,0.0,State of Goiás,,,,,,,"December 14, 2023",
P177782,Western and Central Africa,Republic of Cameroon,,Emergency Project to Combat the Food Crisis in Cameroon,The Project Development Objective (PDO) is to strengthen food and nutrition security and increase resilience to climate shocks of targeted households and producers.,Ministry of Agriculture and Rural Development,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P177782,"March 28, 2022","May 2, 2022","November 25, 2022","December 31, 2025",BANK APPROVED,I,,0.0,100000000.0,,0.0,The Republic of Cameroon,,,High,,,,"June 11, 2024",
P178866,"Middle East, North Africa, Afghanistan, and Pakistan",Lebanese Republic,,Lebanon: Wheat supply emergency response project,"The Project Development Objective is to ensure the availability of wheat in Lebanon, in response to the global commodity market disruptions, and to maintain access to affordable bread by poor and vulnerable households.",Ministry of Economy and Trade,No,https://projects.worldbank.org/en/projects-operations/project-detail/P178866,"April 14, 2022","May 6, 2022","August 19, 2022","October 31, 2024",BANK APPROVED,I,,135000000.0,0.0,,15000000.0,The Lebanese Republic,,,Substantial,,,,"December 21, 2023",
P178009,East Asia and Pacific,Republic of Indonesia,,Mangroves for Coastal Resilience Project,To enhance the management of mangroves and livelihoods of local communities in selected areas,"Coordinating Ministry for Food Affairs,Indonesian Environment Fund (IEF)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P178009,"November 26, 2021","May 20, 2022","December 8, 2022","April 30, 2027",BANK APPROVED,I,,400000000.0,0.0,,19000000.0,"Ministry of Forestry,Republic of Indonesia",,,Substantial,,,,"February 29, 2024",
P172926,"Middle East, North Africa, Afghanistan, and Pakistan",Kingdom of Morocco,,Blue Economy Program for Results,"Develop Morocco's institutional frameworks, improve integrated management of natural resources, and strengthen selected sectors for a climate-resilient blue economy in Targeted Areas","National Institute for Fisheries Research (INRH),Department of Maritime Fisheries (DPM),Ministry of Energy Transition and Sustainable Development,Direction of Ports and Public Maritime Domain,Moroccan National Tourist Office (ONMT),Department of Water and Forests,Moroccan Society of Touristic Engineering,National Agency for the Development of the Aquaculture",,https://projects.worldbank.org/en/projects-operations/project-detail/P172926,"June 15, 2021","May 23, 2022","July 29, 2022","July 31, 2027",BANK APPROVED,I,,350000000.0,0.0,,0.0,Ministry of Economy and Finance,,,,,,,"May 21, 2024",
P176687,East Asia and Pacific,Democratic Republic of Timor-Leste,,Dili Water Supply Project,The Project Development Objective is to improve the coverage and the operational performance of BTL in the Project Area.,Ministry of Public Works,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P176687,"September 21, 2021","May 25, 2022","January 20, 2023","February 4, 2025",BANK APPROVED,O,,0.0,121000000.0,,0.0,Democratic Republic of Timor-Leste,,,Substantial,,,,"February 26, 2024",
P178224,Latin America and Caribbean,United Mexican States,,Mexico Inclusive and Sustainable Economic Growth DPL,The DPL supports policy measures of the authorities that: (a) support vulnerable groups and regions to reap the benefits of economic recovery and (b) reform key policies and institutions that enable sustainable economic growth.,Ministry of Finance and Public Credit (Secretaría de Hacienda y Crédito Público),,https://projects.worldbank.org/en/projects-operations/project-detail/P178224,"March 4, 2022","May 31, 2022","September 6, 2022","December 31, 2023",BANK APPROVED,I,,700000000.0,0.0,,0.0,United Mexican States,,,,,,,"October 10, 2023",
P176981,Western and Central Africa,Republic of Cabo Verde,,Resilient Tourism and Blue Economy Development in Cabo Verde Project,To increase diversity and resiliency in the tourism offering and small and medium enterprise (SME) participation in tourism-related value chains in targeted destinations.,"Ministry of Finance and Business Development,Ministry of Tourism and Transports,Ministry of Infrastructure,Territorial Planning and Housing,Ministry of Culture and Creative Industries and Ministry of the Sea",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P176981,"October 21, 2021","May 31, 2022","June 6, 2022","June 30, 2028",BANK APPROVED,G,,0.0,40000000.0,,5000000.0,Republic of Cabo Verde,,,Substantial,,,,"May 24, 2024",
P177239,East Asia and Pacific,Solomon Islands,,Solomon Islands: Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resilience,"The Development Objective of the Series of Projects is to strengthen the shared management of selected Pacific Island oceanic and coastal fisheries, and the critical habitats upon which they depend. For the Solomon Islands second phase’s project (“SB PROPER”), the proposed Project Development Objective (PDO) is to strengthen regional collaboration and national capacity for the management and the sustainable development of the oceanic and coastal fisheries sector in the Solomon Islands.",Ministry of Fisheries and Marine Resources (MFMR),TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P177239,"October 8, 2021","June 1, 2022","July 8, 2022","July 20, 2027",BANK APPROVED,I,,0.0,13500000.0,,0.0,Solomon Islands,,,Moderate,,,,"February 15, 2024",
P174867,Eastern and Southern Africa,Eastern and Southern Africa,,Horn of Africa - Groundwater for Resilience Project,To increase the sustainable access and management of groundwater in the Horn of Africa's borderlands.,"Ethiopia - Ministry of Water and Energy (MoWE),Kenya - The Ministry of Water, Sanitation and Irrigation (MOWSI),Intergovernmental Authority on Development (IGAD),Somalia - Ministry of Energy and Water Resource (MoEWR)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174867,"June 29, 2021","June 1, 2022","July 29, 2022","December 31, 2028",BANK APPROVED,I,,0.0,385000000.0,,0.0,"Federal Democratic Republic of Ethiopia,Federal Republic of Somalia,Intergovernmental Authority on Development (IGAD),Republic of Kenya",,,High,,,,"February 22, 2024",
P178280,"Middle East, North Africa, Afghanistan, and Pakistan",Islamic Republic of Afghanistan,,Emergency Food Security Project,To improve resilience of agriculture production system for target beneficiaries,Food and Agriculture Organization (FAO),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P178280,"April 22, 2022","June 2, 2022","June 3, 2022","December 31, 2027",BANK APPROVED,G,,,,,315000000.0,Food and Agriculture Organization (FAO),,,Substantial,,,,"July 29, 2024",
P177031,Western and Central Africa,Republic of Sierra Leone,,Sierra Leone Land Administration Project,The Project Development Objective is to establish an efficient and accessible land administration system.,"Ministry of Lands, Housing and Country Planning",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P177031,"August 6, 2021","June 2, 2022","October 27, 2022","July 31, 2028",BANK APPROVED,I,,0.0,41100000.0,,0.0,Republic of Sierra Leone,,,Substantial,,,,"February 29, 2024",
P178143,"Middle East, North Africa, Afghanistan, and Pakistan",Republic of Yemen,,Program on Sustainable Fishery Development in Red Sea and Gulf of Aden (SFISH),"The Development Objective of the overall proposed program with series of projects (SOPs) is to promote regional cooperation for sustainable fishery management in the RSGA region and strengthen the effective fishery production and value chain in RSGA countries.
 

 The Development Objective of this first project of the program is to strengthen mechanisms for regional collaborative management of fisheries in the RSGA region and improve the effective fishery production and value chain in Yemen.","Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden,United Nations Development Programme",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P178143,"November 30, 2021","June 3, 2022","August 17, 2022","July 31, 2026",BANK APPROVED,I,,0.0,45000000.0,,0.0,"United Nations Development Programme,Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden",,,Substantial,,,,"December 6, 2023",
P177807,Latin America and Caribbean,Commonwealth of Dominica,,Dominica Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option,"The development objective of the proposed operation is to support the Government of the Commonwealth of 
 Dominica in: (a) strengthening the legal and institutional framework to increase climate and disaster resilience in 
 priority sectors; and (b) improving national fiscal capacity to respond to disaster and climate-related risks.",Ministry of Finance,,https://projects.worldbank.org/en/projects-operations/project-detail/P177807,"December 20, 2021","June 3, 2022","July 8, 2022","May 5, 2028",BANK APPROVED,I,,0.0,20000000.0,,0.0,Commonwealth of Dominica,,,,,,,"February 28, 2024",
P178434,Eastern and Southern Africa,Eastern and Southern Africa,,Emergency Locust Response Program Phase 1 Ethiopia Additional Finance,To respond to the threat posed by the locust outbreak and to strengthen systems for preparedness.,"Kenya Ministry of Agriculture, Livestock, Fisheries and Cooperation,Djibouti Ministry of Agriculture, Water, Livestock and Fish Resources,Ethiopia Food Security Coordination Directorate, Ministry of Agriculture, Natural Resources & Food",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P178434,"April 5, 2022","June 7, 2022",,"December 31, 2026",BANK APPROVED,I,,0.0,60000000.0,,0.0,"Republic of Kenya,Federal Democratic Republic of Ethiopia,Republic of Uganda,Republic of Djibouti",,,,,,,"May 28, 2024",
P174135,Europe and Central Asia,Central Asia,,RESILAND CA+ Program: Uzbekistan Resilient Landscapes Restoration Project,The objectives of the Project are (i) to increase the area under sustainable landscape management in Selected Locations in Uzbekistan; and (ii) to promote Uzbekistan's collaboration with other Central Asian countries on transboundary landscape restoration.,Forestry Agency,No,https://projects.worldbank.org/en/projects-operations/project-detail/P174135,"November 11, 2020","June 7, 2022","March 29, 2024","September 15, 2028",BANK APPROVED,I,,0.0,142000000.0,,11000000.0,Republic of Uzbekistan,,,Substantial,,,,"October 23, 2023",
P174814,Eastern and Southern Africa,Eastern and Southern Africa,,Great Lakes Trade Facilitation and Integration Project,"The development objective of the project is to facilitate trade and enhance the commercialization of selected value chains, primarily targeting small-scale and women traders in the borderlands of the Great Lakes Region.","Ministry of Trade, Transport, Industry and Tourism - Burundi,Unite de Gestion de Programme, DRC,COMESA Secretariat",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174814,"November 20, 2020","June 9, 2022","October 19, 2022","June 30, 2028",BANK APPROVED,I,,0.0,250000000.0,,0.0,"Republic of Burundi,Common Market for Eastern and Southern Africa,Democratic Republic of Congo",,,High,,,,"February 5, 2024",
P173688,East Asia and Pacific,Solomon Islands,,Integrated Economic Development and Community Resilience Project,"To increase access to economic and social infrastructure in rural wards, deliver climate and disaster resilience actions and enhance Provincial Governments’ accountability to citizens.","Ministry of Environment, Climate Change, Disaster Management and Meteorology,Ministry of Provincial Government and Institutional Strengthening",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P173688,"August 27, 2021","June 9, 2022","August 25, 2022","July 31, 2027",BANK APPROVED,I,,0.0,19000000.0,,4566211.0,Solomon Islands,,,Moderate,,,,"August 29, 2024",
