Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Total_IBRD_IDA_clean,Abstract
P170728,Latin America and Caribbean,Republic of Colombia,,Colombia Institutional Strengthening for Territorial Development DPF,"The objective of this operation is to support policies to: (i) strengthen institutions for regional planning, resource allocation, coordination and investment prioritization, and (ii) enhance the efficiency of land management in rural and urban areas.",National Planning Department,,https://projects.worldbank.org/en/projects-operations/project-detail/P170728,"June 18, 2019","February 27, 2020","May 27, 2020","December 31, 2021",BANK APPROVED,I,,400000000.0,0.0,,0.0,Ministerio de Hacienda,,,,,,,"September 12, 2023",,"The standalone Development Policy Loan (DPL) in the amount of US dollar 400 million supports the Government of Colombia’s (GoC’s) efforts to strengthen institutions for territorial development. Building on previous efforts to address development challenges linked to disparities at the territorial level, stagnating productivity and inefficiencies in public expenditures, the GoC has embarked upon the next phase of implementation of structural reforms to strengthen territorial development focusing on measures to address institutional constraints. Over the long term these reforms are expected to strengthen sub-national institutions to help narrow gaps in human development indicators, increase regional economic competitiveness, improve socio-economic conditions in remote areas of the country, and protect Colombia’s natural endowments. The operation supports Government institutional reforms prioritized in the 2018-2022 National Development Plan (NDP) that seek to promote greater integration and collaboration among territorial entities, strengthen institutional capacity, develop strategic investments at the regional level, and support a more effective and sustainable use and management of land in both rural and urban areas. The reforms are also expected to contribute to peacebuilding in Colombia. The operation builds on a portfolio of Bank operational and analytical work that supports GoC’s efforts to strengthen its institutions for territorial development. The First Colombia Territorial Development DPF (P158520), was approved on December 8, 2016 with financing of EUR716.5 million (US dollar 800 million equivalent), focused on strengthening the institutions for land management and territorial planning; and improving subnational financial management and investment prioritization. The DPF was originally designed as part of a series that was discontinued due to the change of government in Colombia in 2018. The Institutional Strengthening for Territorial Development Policy Loan (DPL) is a standalone operation that supports this agenda by addressing institutional constraints related to coordination, planning and resource allocation at the regional level and efficient rural and urban land management systems."
P159292,"Middle East, North Africa, Afghanistan, and Pakistan",Islamic Republic of Pakistan,,Balochistan Livelihoods and Entrepreneurship Project,The Project Development Objective is to create employment opportunities for rural communities and achieve sustainability of enterprises in selected districts of Balochistan.,"Planning and Development Department, Government of Balochistan",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P159292,"August 3, 2017","March 3, 2020","March 26, 2021","February 27, 2026",BANK APPROVED,I,,0.0,35000000.0,,15000000.0,Islamic Republic of Pakistan,,B,,,,,"January 16, 2024",,"The development objective of the Balochistan Livelihoods and Entrepreneurship Project for Pakistan is to create employment opportunities for rural communities and achieve sustainability of enterprises in selected districts of Balochistan. The project comprises of three components. The first component, economic mobilization will support communities in rural and peri-urban areas of the selected districts by addressing the key constraints arising from the low population density and high cost of delivery in these far-flung areas. It consists of following sub-components: (i) community facilitation; and (ii) citizens’ engagement. The second component, promoting enterprise development and livelihoods will support local entrepreneurs and individuals to enhance viability through the provision of matching grants, business development support, vocational training, and business support facilities. It consists of following sub-components: (i) enterprise facilitation; (ii) livelihoods promotion; and (iii) technical and vocational skills development. The third component, project management will develop the institutional capacity of the planning and development department (P and DD), Government of Balochistan, to implement the project."
P163980,Eastern and Southern Africa,Republic of Kenya,,Marine Fisheries and Socio-Economic Development Project,The Project Development Objective is to improve management of priority fisheries and mariculture and increase access to complementary livelihood activities in coastal communities.,"Ministry of Mining, Blue Economy and Maritime Affairs",No,https://projects.worldbank.org/en/projects-operations/project-detail/P163980,"October 16, 2017","March 10, 2020","August 10, 2020","September 30, 2026",BANK APPROVED,I,,0.0,100000000.0,,0.0,The Republic of Kenya,,B,,,,,"February 9, 2024",,"The development objective of Marine Fisheries and Socio-Economic Development Project for Kenya is to improve management of priority fisheries and mariculture and increase access to complementary livelihood activities in coastal communities. This project has three components. 1) The first component, Governance and Management of Marine Fisheries, has the following sub-components: (i) Enhance Governance of Marine Fisheries and Blue Economy; (ii) Improve Management of Nearshore Fisheries; and (iii) Infrastructure Development for Fisheries Management. 2) The second component, Coastal Community Empowerment and Livelihoods, has the following sub-components: (i) Enhance Coastal Community Livelihoods; and (ii) Support Services for Livelihood Enhancement and Capacity Development. 3) The third component, Project Management, and Monitoring and Evaluation, aims to finance supplemental support for project management at both national and county levels to ensure coordinated and timely execution of project activities."
P167428,Europe and Central Asia,Kyrgyz Republic,,Kyrgyz Republic Regional Economic Development Project,The Project Development Objective is to support the Recipient to enhance regional economic development through targeted interventions in the selected sectors in the Osh region.,Community Development and Investment Agency (ARIS),TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P167428,"May 2, 2019","March 12, 2020","December 7, 2020","November 17, 2028",BANK APPROVED,I,,0.0,60000000.0,,0.0,Ministry of Finance,,,Substantial,,,,"April 15, 2024",,"The Kyrgyz economy grew at an estimated 6.2 percent in 2023, following a 9 percent expansion in 2022. This growth was driven by gold production and a rebound in the agriculture and services sector, particularly services related to transit trade from China and Russia. On the expenditure side, exports and consumption supported growth. Average consumer price inflation declined from 13.8 percent in 2022 to 10.8 percent in 2023 due to easing global food and fuel prices and a tight monetary policy. GDP growth in 2024 is expected to moderate to 4.5 percent as services sector growth decelerates. Investment and exports are expected to drive growth, while consumption growth may ease despite a slight rise in remittances. Without structural reforms, the GDP growth rate is likely to stabilize at 4 percent in the medium term. Inflation is projected to decrease within the target range of 5-7 percent by the end of 2024 and remain stable in the medium term. Despite the Kyrgyz Republic's promising economic performance, poverty remains a significant challenge, impacting approximately 25 percent of the population, particularly in rural areas. The COVID-19 pandemic has further exacerbated existing vulnerabilities, resulting in increased poverty rates and economic hardships for many households. The contrast between rural and urban poverty is stark, particularly in the southern regions, where poverty rates are among the highest in the country. In the Batken and Osh Regions, estimates indicate that over 30 percent of the population lives in poverty. In comparison, Bishkek, the capital, has a relatively lower poverty rate of around 15-20 percent. The RED-1 project serves as a flagship initiative designed to assist the Government in addressing critical regional development challenges. By prioritizing key economic sectors, particularly tourism and agriculture, the Project aims to leverage these industries as primary drivers of local and regional economic growth in the Osh Region. This strategic focus seeks to improve the economic landscape of the region by enhancing key tourism attractions in the cities of Osh and Uzgen and nearby and transforming them into destination hubs for tourism development. Additionally, the Project supports the development of small and medium-sized enterprises (SMEs) and startups through customized capacity-building activities aimed at improving business operations and providing financing for high-potential businesses. The Suleiman-Too Complex, a UNESCO-protected site, and Uzgen Archaeological Complex, key investments under the RED-1 Project, hold immense cultural and historical significance for the Kyrgyz Republic. Both sites have faced substantial degradation over the past 30 years, threatening their unique heritage. Revitalizing the Suleiman-Too Complex is particularly crucial for regional development. Osh, where the complex is located, has the potential to become a major tourist destination in the eastern Ferghana Valley. Recognizing the cultural and economic significance of these sites, the Government has sought the Bank’s support for their revitalization and included them in the RED-1. However, given the unique skillset required for the preparation of anticipated interventions coincided with limited capacity at both national and local levels, the preparatory phase has taken longer than anticipated, posing risks for its implementation under the Project. To address this issue, the PIU has mobilized extra domestic and international expertise to bridge the capacity gap. In parallel, the Bank has engaged additional consultants to assist stakeholders in meeting UNESCO's stringent requirements and advancing the preparation of design packages. Now that the implementation momentum has been regained, the Government approached the Bank with a request for Additional Financing to address the estimated financing gap of US$8.5 million for the referenced activities and a 23-month time expansion to allow for the completion of flagship investments."
P165821,East Asia and Pacific,Republic of Kiribati,,Kiribati: Pacific Islands Regional Oceanscape Program,To improve management of selected fisheries and seafood safety in the Recipient’s territory.,Ministry of Fisheries and Ocean Resources,No,https://projects.worldbank.org/en/projects-operations/project-detail/P165821,"December 6, 2018","March 12, 2020","June 16, 2020","June 30, 2026",BANK APPROVED,I,,0.0,19500000.0,,0.0,Republic of Kiribati,,B,,,,,"April 2, 2024",,"The development objective of Pacific Islands Regional Oceanscape Program Project is to improve management of selected fisheries and seafood safety in the recipient’s territory. This project has four components. 1) The first component, Strengthening Monitoring, Control and Surveillance of Large-Scale Oceanic Fisheries, has the following two sub-components: (i) Strengthening Monitoring, Control and Surveillance Capacity; and (ii) Investing in Improved Monitoring, Control and Surveillance (MCS) Enforcement. 2) The second component, Diversifying Marine-Based Revenue Streams for Outer Island Coastal Communities, aims to strengthen coastal community participation in new and existing sustainable marine-based revenue streams in the Gilbert and Line Islands in support of the Kiribati Fisheries. 3) The third component, Improving Seafood Toxicology and Safety Measures in Selected Fisheries, aims to finance a core set of technical assistance (TA) and civil works designed to reduce the risk of contaminated seafood and seafood products from entering domestic and international markets. 4) The fourth component, Delivering Effective Project Management, aims to provide operational and technical assistance to the Project Management Unit and Ministry of Finance and Economic Development on Project management and implementation, including planning, reporting and auditing."
P168218,Western and Central Africa,Republic of Liberia,,Liberia First Inclusive Growth Development Policy Operation,The program development objectives of these series are: 1) removing distortions in selected sectors and strengthening public-sector transparency; and 2) promoting economic and social inclusion.,Ministry of Finance and Development Planning,,https://projects.worldbank.org/en/projects-operations/project-detail/P168218,"November 4, 2019","March 17, 2020","March 25, 2020","September 30, 2021",BANK APPROVED,I,,0.0,40000000.0,,0.0,Republic of Liberia,,,,,,,"August 31, 2023",,"The development objectives of First Inclusive Growth Development Policy Operation are: 1) removing distortions in selected sectors and strengthening public-sector transparency; and 2) promoting economic and social inclusion. The development policy operation (DPO) series supports key reforms designed to enable inclusive growth in Liberia in line with the strategic priorities of the Pro-Poor Agenda for Prosperity and Development (PAPD). In November 2018, the new government launched its PAPD, which covers the 2018-2023 period. Developed in 2012, Vision 2030 aims to transform Liberia into a prosperous and inclusive middle-income economy by 2030. Vision 2030 was informed by nationwide consultations with citizens and stakeholders in all of Liberia’s fifteen counties. The PAPD is designed to operationalize this vision by focusing on four strategic pillars. Under first pillar, the government’s goal is to leverage human capital development to transform living conditions and enhance wellbeing at the household level. Under second pillar focus on reinforcing macroeconomic stability by promoting economic diversification, investing in infrastructure, enhancing the business climate, and fostering private-sector development. The government’s primary objective under third pillar is to work collaboratively with all citizens, regardless of social status, to build a more peaceful and unified society that enables economic transformation and sustainable development. Actions under fourth pillar focus on creating robust and responsive public institutions by strengthening accountability, as effective public institutions are necessary for inclusive economic development."
P170223,Latin America and Caribbean,Jamaica,,Jamaica First Economic Resilience DPL,The Program Development Objectives are to (a) Support Fiscal Sustainability and Inclusion; (b) Enhance Fiscal and Financial Resilience against Natural Disaster Risks; and (c) Improve the Investment Climate for Sustainable Growth.,Ministry of Finance & the Public Service,,https://projects.worldbank.org/en/projects-operations/project-detail/P170223,"January 2, 2020","March 19, 2020","March 25, 2020","March 31, 2021",BANK APPROVED,I,,70000000.0,0.0,,0.0,Jamaica,,,,,,,"December 5, 2023",,The development objective of First Economic Resilience Development Policy Loan (ERDPL) Project are to (a) Support Fiscal Sustainability and Inclusion; (b) Enhance Fiscal and Financial Resilience against Natural Disaster Risks; and (c) Improve the Investment Climate for Sustainable Growth. This program document focuses on a first development policy loan (DPL) operation in a programmatic series of two IBRD loans.The ERDPL series is structured around three interrelated pillars designed to: (i) support fiscal sustainability and inclusion; (ii) enhance fiscal and financial resilience against natural disaster risks; and (iii) improve the investment climate for sustainable growth. It supports decisive reforms aimed at entrenching fiscal discipline through the creation of a fiscal council while addressing the overarching constraint of disaster financing and business climate issues
P169505,Latin America and Caribbean,Republic of Paraguay,,Paraguay First Economic Management Development Policy Loan,"The Development objectives of the proposed DPL are to (a) improve the enabling conditions for more resilient, private sector-led growth, (b) promote economic growth that is more environmentally sustainable and resilient to climate-induced shocks, and (c) increaseresilience through more efficient and accountable management of public resources.",Ministry of Finance,,https://projects.worldbank.org/en/projects-operations/project-detail/P169505,"June 12, 2019","March 19, 2020","May 5, 2020","June 30, 2023",BANK APPROVED,I,,200000000.0,0.0,,0.0,"Aduanas,Instituto Forestal Nacional,Ministry of Industry and Commerce",,,,,,,"August 16, 2023",,"The Paraguay First Economic Management Development Policy Loan (EMDPL1) in the amount of US$200 million is the first operation, in a programmatic series of two, aimed at supporting Paraguay’s efforts to reduce its external, environmental, and public finance vulnerabilities. The operation is a key instrument for the implementation of the Country Partnership Framework (CPF) for Paraguay for FY19-FY23, discussed by the Board on January 22, 2019, and supports select priorities of the Paraguayan Administration within the framework of its Plan de Gobierno 2018-2023: Paraguay de la Gente. The Government plans to use the EMDPL1 with the Deferred Drawdown Option (DDO) as a contingency line of financing to address repercussions from increased regional volatility and weaker global growth. Since 2004, Paraguay has been characterized by solid economic growth supported by prudent macroeconomic policies and leveraging of the country’s natural wealth. Economic growth has been above the regional average, inflation is under control and public debt is low. Foreign reserves have remained at prudent levels. The financial sector is sound, with well-capitalized banks with low non-performing loans. Growth has been based on extensive leveraging of the country’s natural resources, particularly land and hydroelectric potential, and on an expanding service sector. Due in large part to the strong performance of the agricultural exporting sector, Paraguay stands out in the region for the positive contribution of net trade to growth. Demographic change in Paraguay has led to a sizable expansion of the working-age population, adding to economic output. However, in the first half of 2019, Paraguay faced a recession due to weak growth of its main trading partners and adverse climatic conditions. The economy is expected to return to growth in 2020."
P168153,Latin America and Caribbean,Republic of Paraguay,,Market Access for Agricultural Products Project,"Enhance access to markets and provide emergency support to Agricultural Producer Organizations, Indigenous Communities and their members, for the current COVID-19 emergency and future Eligible Crises or Emergencies.",Ministry of Agriculture and Livestock Production,,https://projects.worldbank.org/en/projects-operations/project-detail/P168153,"November 13, 2018","March 19, 2020","July 6, 2020","June 30, 2026",BANK APPROVED,I,,100000000.0,0.0,,0.0,Republic of Paraguay,,,Substantial,,,,"March 3, 2024",,"The project will contribute to creating long-term economic opportunities for the rural small and medium-sized producers and indigenous communities by applying a three-fold approach: (i) intervene at the level of grass-roots organizations of farmers via capacity building (sub-component 1.1); (ii) improve critical public sector institutions and their delivery of key services (sub-component 1.2); and (ii) support investment sub-projects focused on improving access to markets, based on increasing competitiveness and improve resilience to extreme weather events and climate change (component 2). In the short and medium-term, the project will put into operation an inclusive agribusiness model based on productive alliances, formed between producers’ organizations (including indigenous communities), aggregators, agribusinesses and buyers. Producers will enhance their income-generating capacity by becoming more engaged in business activities, in close coordination with the final buyers/consumers and able to respond more effectively to market changes, while incorporating more climate-resilient technologies and approaches. In the long-term, the project will spark the creation of both on-farm and off-farms jobs and strengthen sectoral resilience, while contributing more significantly to human capital creation and economic development."
P158372,Europe and Central Asia,Republic of Uzbekistan,,Agriculture Modernization Project,The objectives of the project are to (i) enhance productivity-supporting agricultural services and (ii) promote market-led agriculture value chains.,Ministry of Agriculture - International Center for Strategic Development and Research on Food Securi,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P158372,"February 6, 2019","March 20, 2020","August 24, 2020","December 30, 2027",BANK APPROVED,I,,181000000.0,319000000.0,,0.0,Republic of Uzbekistan,,,Substantial,,,,"January 25, 2024",,"The objectives of the Agriculture Modernization Project for Uzbekistan are to (i) enhance productivity-supporting agricultural services and (ii) promote market-led, high-value horticulture value chains. The Project has four components. 1. Enhancing Productivity-Supporting Agricultural Services component will enhance the knowledge and human capital base to enable accelerated productive transformation of Uzbekistan agriculture to make it more productive, climate-resilient, diversified, and market-led. 1.1 Applied agricultural research and development subcomponent enhance the capacity of the national Research and Development (R and D) system to develop new technologies as well as to adapt existing, on-the-shelf technologies to local social and environmental conditions and to changing circumstances over time. 1.2 Seed and seedling production subcomponent will seek to: (i) increase the supply, in sufficient quantity and acceptable quality, of elite and super-elite seeds, seedlings, and other planting materials to private sector multipliers for commercial seed production and sales to farmers; and (ii) develop and update guidelines related to seed production, testing and registration, and certification for public and private sector seed/seedling nurseries. 1.3 Natural resource management subcomponent will increase farmers’ awareness of their soils, water situation and biohazards, and succeed in replacing blanket recommendations with test-based recommendations and Climate Smart Agriculture (CSA). 1.4 Farmer adoption support subcomponent will provide more effective knowledge and advisory support for adoption of productive and CSA technologies and practices to enable more reliable and higher quality outputs by farmers. 2. Supporting Investments in High-Value Horticulture Value Chains component will support investments in crop diversification and high-value horticulture value chains, facilitate farmers’ participation in investment opportunities created by economic liberalization, and enable productive partnerships/clusters between farm groups and agribusinesses. 3. Facilitating Trade and Marketing component improve access of Uzbekistan’s horticulture products on both internal and external markets through improvements in: (i) agro-logistics; (ii) plant protection and quarantine measures; and (iii) market information collection and dissemination, reflected in three subcomponents: 3.1 Establishing agro-logistical centers in selected regions; 3.2 Strengthening plant protection and quarantine capacity; and 3.3 Strengthening market information system. 4. Supporting Project Management subcomponent will support project management, coordination, monitoring and evaluation (M and E), and implementation of environmental and social measures under the World Bank (WB) Environmental and Social Framework (ESF)."
P171877,Eastern and Southern Africa,Republic of Malawi,,Additional Financing to the Malawi Resilience and Disaster Risk Management Project,Support the recovery of livelihoods and infrastructure in flood and drought affected areas and strengthen capacity for flood and drought risk management,"Ministry of Agriculture,Irrigation and Water Development,Ministry of Finance, Economic Planning and Development",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171877,"January 30, 2020","March 24, 2020",,"January 31, 2025",BANK APPROVED,I,,0.0,80000000.0,,0.0,"Government of Malawi, Ministry of Finance, Economic Planning and Development",,B,,,,,"June 2, 2022",,
